country,region,score,gdp,social_support,hle,freedom,generosity,corruption,positive_affect,negative_affect
finland,western europe,7.842100143432617,10.775201797485352,0.9536033868789672,72.0,0.9492678642272948,-0.0977602750062942,0.1858457326889038,0.7442921996116638,0.1928975731134414
denmark,western europe,7.619500160217285,10.933176040649414,0.9544095396995544,72.69975280761719,0.9456385374069214,0.030108893290162,0.1788384467363357,0.8176636695861816,0.2271018922328949
switzerland,western europe,7.571499824523926,11.1173677444458,0.9417418241500854,74.40010070800781,0.918788194656372,0.0246291942894458,0.2916984856128692,0.7687047123908997,0.1932289898395538
iceland,western europe,7.553899765014648,10.877767562866213,0.9829378724098206,73.0,0.9551227688789368,0.1602739989757537,0.6728646755218506,0.8630176186561584,0.1717951446771621
netherlands,western europe,7.464000225067139,10.931812286376951,0.9416008591651917,72.40011596679688,0.9131155610084534,0.1754044145345688,0.3379377722740173,0.7839906215667725,0.2465113252401352
norway,western europe,7.392499923706055,11.053126335144045,0.9544451236724854,73.30001068115234,0.9595884084701538,0.0934255644679069,0.2700278162956238,0.823093831539154,0.2160339206457138
sweden,western europe,7.36269998550415,10.866994857788086,0.9338052272796632,72.7000503540039,0.9446040987968444,0.0862229317426681,0.2374600023031234,0.7663760781288147,0.2219332903623581
luxembourg,western europe,7.324399948120117,11.646564483642578,0.9077898859977722,72.5999984741211,0.907179832458496,-0.0335662104189395,0.3864188194274902,0.7891863584518433,0.2116398066282272
new zealand,north america and anz,7.276599884033203,10.642712593078612,0.948147714138031,73.400146484375,0.9285796880722046,0.134256049990654,0.2416411489248275,0.8494150042533875,0.2085410505533218
austria,western europe,7.267799854278564,10.906315803527832,0.9341755509376526,73.29972076416016,0.9076905846595764,0.0415682792663574,0.4813777804374695,0.7693166136741638,0.2064996510744094
australia,north america and anz,7.183499813079834,10.795604705810549,0.9401491284370422,73.90009307861328,0.9136497378349304,0.1585298627614975,0.4422915577888489,0.7691817283630371,0.2050776779651641
israel,middle east and north africa,7.157100200653076,10.57475757598877,0.9392313361167908,73.50325775146484,0.8000268936157227,0.0306818801909685,0.7531108856201172,0.6213983297348022,0.2428257316350937
germany,western europe,7.1545000076293945,10.872547149658203,0.9031664729118348,72.5000991821289,0.8751699328422546,0.0106403306126594,0.460144966840744,0.7595943212509155,0.2059271186590194
canada,north america and anz,7.103300094604492,10.77612590789795,0.9261578917503356,73.7998046875,0.9146769642829896,0.0892951712012291,0.4146860539913177,0.7959487438201904,0.3066737353801727
ireland,western europe,7.085299968719482,11.342286109924316,0.9472292065620422,72.39998626708984,0.8793568015098572,0.077188566327095,0.3631559312343597,0.7966610193252563,0.2464472651481628
costa rica,latin america and caribbean,7.069399833679199,9.879919052124023,0.8913084864616394,71.3999252319336,0.9344320297241212,-0.1264688819646835,0.8087530136108398,0.8483476042747498,0.3033272325992584
united kingdom,western europe,7.063600063323975,10.70714282989502,0.9339838027954102,72.50009155273438,0.858679473400116,0.2334199398756027,0.4594566226005554,0.758163571357727,0.2246551215648651
czech republic,central and eastern europe,6.964700222015381,10.556146621704102,0.9465022087097168,70.80664825439453,0.858412504196167,-0.2083420008420944,0.8677807450294495,0.8320576548576355,0.2904416918754577
united states,north america and anz,6.951499938964844,11.023136138916016,0.9198493361473083,68.19985961914062,0.8369630575180054,0.0984368175268173,0.6980640888214111,0.7873719930648804,0.2954990267753601
belgium,western europe,6.834000110626221,10.823075294494627,0.9055314660072328,72.19942474365234,0.7833221554756165,-0.1533680558204651,0.6455837488174438,0.6465103030204773,0.2601887881755829
france,western europe,6.689899921417236,10.703892707824709,0.9423473477363586,73.99979400634766,0.8218606114387512,-0.1465191692113876,0.5707479119300842,0.731813907623291,0.2309504300355911
bahrain,middle east and north africa,6.646900177001953,10.66861057281494,0.8616421818733215,69.49510192871094,0.924988090991974,0.0891168490052223,0.7219851016998291,0.7897949814796448,0.2968354523181915
malta,western europe,6.602000236511231,10.673663139343262,0.930931031703949,72.19999694824219,0.9272085428237916,0.1326467096805572,0.6529858112335205,0.6014958620071411,0.4109132289886474
taiwan province of china,east asia,6.584400177001953,10.87099552154541,0.8982787728309631,69.5999984741211,0.7843614220619202,-0.0704944059252739,0.7213312983512878,0.8453933596611023,0.0827369540929794
united arab emirates,middle east and north africa,6.560500144958496,11.08488941192627,0.8443886637687683,67.33289337158203,0.9323959946632384,0.0739989876747131,0.5891460180282593,0.7516599297523499,0.2984803020954132
saudi arabia,middle east and north africa,6.49399995803833,10.74250316619873,0.8905491828918457,66.60309600830078,0.8772625923156738,-0.1494362354278564,0.6840046048164368,0.7536076307296753,0.2511990666389465
spain,western europe,6.490699768066406,10.570850372314451,0.9315811395645142,74.69999694824219,0.7613672614097595,-0.0811386778950691,0.7452783584594727,0.6861776113510132,0.3166171014308929
italy,western europe,6.483099937438965,10.62289810180664,0.879959225654602,73.800048828125,0.6929126381874084,-0.0842291936278343,0.8657403588294983,0.6702133417129517,0.3110021650791168
slovenia,central and eastern europe,6.460700035095215,10.529362678527832,0.9479639530181884,71.3997573852539,0.9486264586448668,-0.1006772071123123,0.8064841032028198,0.6099492311477661,0.3138525187969208
guatemala,latin america and caribbean,6.434500217437744,9.053407669067385,0.8132908344268799,64.95813751220703,0.9058154821395874,-0.0376007743179798,0.7753238677978516,0.859412670135498,0.3107892572879791
uruguay,latin america and caribbean,6.431399822235107,9.965593338012695,0.9249749779701232,69.10005950927734,0.8957509398460388,-0.0922202095389366,0.5895706415176392,0.8073509335517883,0.2646920680999756
singapore,southeast asia,6.376500129699707,11.488009452819824,0.914898693561554,76.9528579711914,0.9271981716156006,-0.0184268355369567,0.0819585770368576,0.7225980162620544,0.1380691528320312
kosovo,central and eastern europe,6.372000217437744,9.318236351013184,0.8209583759307861,63.812744140625,0.8689715266227722,0.2574168741703033,0.917487859725952,0.7262398600578308,0.2014580368995666
slovakia,central and eastern europe,6.330900192260742,10.368945121765137,0.9358723163604736,69.20065307617188,0.7663798332214355,-0.1237746030092239,0.9112483859062196,0.7635828852653503,0.27444788813591
brazil,latin america and caribbean,6.330100059509277,9.57730484008789,0.8815970420837402,66.60087585449219,0.804413914680481,-0.0710481703281402,0.7563974857330322,0.6920238733291626,0.3891385495662689
mexico,latin america and caribbean,6.316800117492676,9.858916282653809,0.8308840990066528,68.59725952148438,0.8624945878982544,-0.1468086689710617,0.7990835905075073,0.8101091384887695,0.2915561199188232
jamaica,latin america and caribbean,6.309199810028076,9.186201095581056,0.8765021562576294,67.5,0.8895829319953918,-0.1367970556020736,0.8844091892242432,0.7520411014556885,0.1952841430902481
lithuania,central and eastern europe,6.25540018081665,10.498724937438965,0.935331404209137,67.90605163574219,0.7731943130493164,-0.2026827782392501,0.8256320357322693,0.6602295637130737,0.2019120007753372
cyprus,western europe,6.223499774932861,10.57603645324707,0.8022973537445068,73.89753723144531,0.7630279064178467,-0.014914353378117,0.8441770076751709,0.7588630318641663,0.2835224568843841
estonia,central and eastern europe,6.188799858093262,10.481181144714355,0.9414528608322144,68.79991149902344,0.9087128043174744,-0.1061933785676956,0.5266488194465637,0.8069238066673279,0.1876794993877411
panama,latin america and caribbean,6.179599761962891,10.350154876708984,0.8958771228790283,69.65210723876953,0.8718804121017456,-0.1662856638431549,0.8556877374649048,0.877561628818512,0.2435666024684906
uzbekistan,commonwealth of independent states,6.178800106048584,8.836421012878418,0.9184690117836,65.25531005859375,0.970130980014801,0.3107061386108398,0.5150893926620483,0.8448085188865662,0.2197455167770385
chile,latin america and caribbean,6.171899795532227,10.071078300476074,0.8822913765907288,70.0000228881836,0.7415035963058472,-0.0442925505340099,0.8303554058074951,0.8146027326583862,0.3360286056995392
poland,central and eastern europe,6.166100025177002,10.381980895996094,0.8982869386672974,69.70166778564453,0.8406172394752502,-0.1648647040128708,0.7353492975234985,0.759842574596405,0.3289379179477691
kazakhstan,commonwealth of independent states,6.151800155639648,10.154766082763672,0.95210862159729,65.19985961914062,0.8525170087814331,-0.0694460570812225,0.7330804467201233,0.6841026544570923,0.1503599137067794
romania,central and eastern europe,6.139999866485596,10.283731460571287,0.8319143652915955,67.35520935058594,0.8450421094894409,-0.2194642722606659,0.9382724165916444,0.6974433660507202,0.2436592280864715
kuwait,middle east and north africa,6.106100082397461,10.816696166992188,0.8427844047546387,66.9000015258789,0.8670896291732788,-0.1041610762476921,0.7362381219863892,0.6953627467155457,0.3028763234615326
serbia,central and eastern europe,6.077899932861328,9.78662395477295,0.8726455569267273,68.60033416748047,0.7775619029998779,0.0021929570939391,0.8352977633476257,0.6028461456298828,0.3575802743434906
el salvador,latin america and caribbean,6.060500144958496,9.05385684967041,0.7620758414268494,66.40190124511719,0.8875650763511658,-0.1102621406316757,0.6882754564285278,0.8389042019844055,0.3294397890567779
mauritius,sub-saharan africa,6.048999786376953,10.008109092712402,0.9047017097473145,66.70086669921875,0.8669211864471436,-0.0541111044585704,0.7890381813049316,0.7669844627380371,0.1384017914533615
latvia,central and eastern europe,6.0320000648498535,10.314775466918944,0.9274994134902954,67.1001968383789,0.7145545482635498,-0.1620119959115982,0.7997939586639404,0.7136284112930298,0.2015823721885681
colombia,latin america and caribbean,6.012400150299072,9.557000160217283,0.8468530178070068,68.00137329101562,0.8369866609573364,-0.1347964406013488,0.8408741354942322,0.7951326966285706,0.3401585817337036
hungary,central and eastern europe,5.991600036621094,10.358233451843262,0.9434720277786256,68.00016784667969,0.7549257278442383,-0.1861779242753982,0.8761805295944214,0.7352383732795715,0.2400519400835037
