country,region,score,gdp,social_support,hle,freedom,generosity,corruption
Finland,Western Europe,7.842100143432617,10.775201797485352,0.9536033868789673,72.0,0.9492678642272949,-0.09776027500629425,0.1858457326889038
Denmark,Western Europe,7.619500160217285,10.933176040649414,0.9544095396995544,72.69975280761719,0.9456385374069214,0.030108893290162086,0.17883844673633575
Switzerland,Western Europe,7.571499824523926,11.1173677444458,0.9417418241500854,74.40010070800781,0.9187881946563721,0.024629194289445877,0.29169848561286926
Iceland,Western Europe,7.553899765014648,10.877767562866211,0.9829378724098206,73.0,0.9551227688789368,0.16027399897575378,0.6728646755218506
Netherlands,Western Europe,7.464000225067139,10.931812286376953,0.9416008591651917,72.40011596679688,0.9131155610084534,0.1754044145345688,0.33793777227401733
Norway,Western Europe,7.392499923706055,11.053126335144043,0.9544451236724854,73.30001068115234,0.9595884084701538,0.09342556446790695,0.2700278162956238
Sweden,Western Europe,7.36269998550415,10.866994857788086,0.9338052272796631,72.7000503540039,0.9446040987968445,0.08622293174266815,0.23746000230312347
Luxembourg,Western Europe,7.324399948120117,11.646564483642578,0.9077898859977722,72.5999984741211,0.9071798324584961,-0.03356621041893959,0.38641881942749023
New Zealand,North America and ANZ,7.276599884033203,10.642712593078613,0.948147714138031,73.400146484375,0.9285796880722046,0.134256049990654,0.24164114892482758
Austria,Western Europe,7.2677998542785645,10.906315803527832,0.9341755509376526,73.29972076416016,0.9076905846595764,0.04156827926635742,0.4813777804374695
Australia,North America and ANZ,7.183499813079834,10.795604705810547,0.9401491284370422,73.90009307861328,0.9136497378349304,0.1585298627614975,0.4422915577888489
Israel,Middle East and North Africa,7.157100200653076,10.57475757598877,0.9392313361167908,73.50325775146484,0.8000268936157227,0.030681880190968513,0.7531108856201172
Germany,Western Europe,7.1545000076293945,10.872547149658203,0.9031664729118347,72.5000991821289,0.8751699328422546,0.010640330612659454,0.460144966840744
Canada,North America and ANZ,7.103300094604492,10.77612590789795,0.9261578917503357,73.7998046875,0.9146769642829895,0.0892951712012291,0.41468605399131775
Ireland,Western Europe,7.085299968719482,11.342286109924316,0.9472292065620422,72.39998626708984,0.8793568015098572,0.07718856632709503,0.36315593123435974
Costa Rica,Latin America and Caribbean,7.069399833679199,9.879919052124023,0.8913084864616394,71.3999252319336,0.9344320297241211,-0.12646888196468353,0.8087530136108398
United Kingdom,Western Europe,7.063600063323975,10.70714282989502,0.9339838027954102,72.50009155273438,0.858679473400116,0.23341993987560272,0.4594566226005554
Czech Republic,Central and Eastern Europe,6.964700222015381,10.556146621704102,0.9465022087097168,70.80664825439453,0.858412504196167,-0.20834200084209442,0.8677807450294495
United States,North America and ANZ,6.951499938964844,11.023136138916016,0.9198493361473083,68.19985961914062,0.8369630575180054,0.09843681752681732,0.6980640888214111
Belgium,Western Europe,6.834000110626221,10.823075294494629,0.9055314660072327,72.19942474365234,0.7833221554756165,-0.1533680558204651,0.6455837488174438
France,Western Europe,6.689899921417236,10.703892707824707,0.9423473477363586,73.99979400634766,0.8218606114387512,-0.14651916921138763,0.5707479119300842
Bahrain,Middle East and North Africa,6.646900177001953,10.668610572814941,0.8616421818733215,69.49510192871094,0.9249880909919739,0.08911684900522232,0.7219851016998291
Malta,Western Europe,6.6020002365112305,10.673663139343262,0.930931031703949,72.19999694824219,0.9272085428237915,0.13264670968055725,0.6529858112335205
Taiwan Province of China,East Asia,6.584400177001953,10.87099552154541,0.8982787728309631,69.5999984741211,0.7843614220619202,-0.0704944059252739,0.7213312983512878
United Arab Emirates,Middle East and North Africa,6.560500144958496,11.08488941192627,0.8443886637687683,67.33289337158203,0.9323959946632385,0.07399898767471313,0.5891460180282593
Saudi Arabia,Middle East and North Africa,6.49399995803833,10.74250316619873,0.8905491828918457,66.60309600830078,0.8772625923156738,-0.14943623542785645,0.6840046048164368
Spain,Western Europe,6.490699768066406,10.570850372314453,0.9315811395645142,74.69999694824219,0.7613672614097595,-0.08113867789506912,0.7452783584594727
Italy,Western Europe,6.483099937438965,10.62289810180664,0.879959225654602,73.800048828125,0.6929126381874084,-0.08422919362783432,0.8657403588294983
Slovenia,Central and Eastern Europe,6.460700035095215,10.529362678527832,0.9479639530181885,71.3997573852539,0.9486264586448669,-0.10067720711231232,0.8064841032028198
Guatemala,Latin America and Caribbean,6.434500217437744,9.053407669067383,0.8132908344268799,64.95813751220703,0.9058154821395874,-0.03760077431797981,0.7753238677978516
Uruguay,Latin America and Caribbean,6.431399822235107,9.965593338012695,0.9249749779701233,69.10005950927734,0.8957509398460388,-0.09222020953893661,0.5895706415176392
Singapore,Southeast Asia,6.376500129699707,11.488009452819824,0.914898693561554,76.9528579711914,0.9271981716156006,-0.018426835536956787,0.0819585770368576
Kosovo,Central and Eastern Europe,6.372000217437744,9.318236351013184,0.8209583759307861,63.812744140625,0.8689715266227722,0.25741687417030334,0.9174878597259521
Slovakia,Central and Eastern Europe,6.330900192260742,10.368945121765137,0.9358723163604736,69.20065307617188,0.7663798332214355,-0.12377460300922394,0.9112483859062195
Brazil,Latin America and Caribbean,6.330100059509277,9.57730484008789,0.8815970420837402,66.60087585449219,0.804413914680481,-0.07104817032814026,0.7563974857330322
Mexico,Latin America and Caribbean,6.316800117492676,9.858916282653809,0.8308840990066528,68.59725952148438,0.8624945878982544,-0.1468086689710617,0.7990835905075073
Jamaica,Latin America and Caribbean,6.309199810028076,9.186201095581055,0.8765021562576294,67.5,0.8895829319953918,-0.13679705560207367,0.8844091892242432
