cat_region,score,gdp,social_support,freedom,generosity,corruption,positive_affect,negative_affect,scaled_hle
2,5.743599891662598,8.538470268249512,0.8933833241462708,0.9345319867134094,0.1193042770028114,0.9077425599098206,0.8030253648757935,0.2578130662441253,0.6342944553920201
5,6.798151016235352,10.98207187652588,0.8927223086357117,0.7030197381973267,-0.0314050540328025,0.4861114025115967,0.7179799675941467,0.2033959925174713,0.637142835344587
10,4.756237030029297,10.25675106048584,0.8323332071304321,0.3691563308238983,-0.2879295349121094,0.9302138090133668,0.6946759223937988,0.3854333162307739,0.739142826625279
9,4.291800498962402,8.034302711486816,0.696715772151947,0.58025723695755,-0.0689929574728012,0.9450027942657472,0.6002107858657837,0.3124849796295166,0.3877142769949777
10,6.98646354675293,10.68857765197754,0.953838586807251,0.7591441869735718,0.3311240673065185,0.5477691292762756,0.8189505934715271,0.2182965576648712,0.7248571123395647
0,5.295547008514404,8.934110641479492,0.8319452404975891,0.909259796142578,-0.0407643429934978,0.8084229826927185,0.6922224164009094,0.1910613626241684,0.6842857360839844
10,7.111363887786865,10.782974243164062,0.936955451965332,0.8801535964012146,-0.0141535615548491,0.7110438942909241,0.8345445394515991,0.2250563651323318,0.7274285452706474
10,6.909710884094238,10.670443534851074,0.9315415024757384,0.9273406863212584,0.1787719577550888,0.5951998829841614,0.7212244272232056,0.2956987917423248,0.7457142421177455
3,5.343165874481201,10.188506126403809,0.7703096866607666,0.7158222794532776,-0.104343794286251,0.8915597200393677,0.655305027961731,0.3164882361888885,0.7085714067731584
0,4.982719898223877,9.307735443115234,0.9055243730545044,0.6855107545852661,0.1730996072292328,0.9002181887626648,0.6527857184410095,0.2076526582241058,0.5957142966134208
4,7.442546367645264,9.83243179321289,0.7591384053230286,0.7387166619300842,-0.164753720164299,0.6147470474243164,0.7896854281425476,0.2229487299919128,0.6720000130789621
5,4.024219512939453,9.596782684326172,0.8659685254096985,0.4470014870166778,-0.0810823962092399,0.890415608882904,0.3216897547245025,0.4944990277290344,0.6799999782017299
3,5.0044026374816895,9.51792049407959,0.6835916638374329,0.8242123126983643,0.0089116021990776,0.8991293907165527,0.713299572467804,0.3189967274665832,0.6957142421177456
5,3.057513952255249,7.578436851501465,0.7894219160079956,0.5527260899543762,-0.1467122286558151,0.7925868630409241,0.4611137807369232,0.3148699402809143,0.5242857251848493
10,6.855329036712647,10.795228958129885,0.9435491561889648,0.8609535098075867,0.0013452871935442,0.5119757652282715,0.7976337671279907,0.2515570521354675,0.7325714111328125
0,5.569091796875,9.12298583984375,0.8189489841461182,0.8102014660835266,0.352631151676178,0.802428126335144,0.778723418712616,0.2173499017953872,0.5657142639160155
9,3.9720592498779297,9.621227264404297,0.7360961437225342,0.5659658312797546,-0.1950442343950271,0.8101196885108948,0.4699985086917877,0.2657430768013,0.5165714263916016
2,5.207785606384277,8.356863975524902,0.8561817407608032,0.7027316689491272,-0.0788862034678459,0.8920367956161499,0.6905240416526794,0.1823832690715789,0.599142837524414
3,5.448901653289795,10.248160362243652,0.8995115756988525,0.5539517402648926,-0.1868685781955719,0.9241858124732972,0.6659107804298401,0.2433257699012756,0.6685714721679688
10,7.393264293670654,10.733675956726074,0.9354813694953918,0.9160091280937196,0.0911503508687019,0.4125156998634338,0.8321086168289185,0.2020946592092514,0.72000002179827
5,6.169673442840576,10.780850410461426,0.8627001047134399,0.8886910676956177,0.0881874784827232,0.7449791152675701,0.7871872186660767,0.2834663391113281,0.6871428353445871
7,7.158032417297363,10.887764930725098,0.9117937684059144,0.8306838274002075,0.2006425857543945,0.6653938293457031,0.8434840440750122,0.2616614997386932,0.6934285845075335
